model,avg_delay
737-230,12.956403269754768
737-282,13.688696726374305
737-236,13.950983032588203
737-2P6,15.585597826086957
737-2X6C,15.66786355475763
737-2Y5,16.39808362369338
737-282C,17.4078125
EXEC 162F,19.0
A318-111,19.40607424071991
737-76Q,19.40802213001383
A319-111,19.426520012221204
737-705,19.95480690221857
737-7AD,20.303934010152282
T337G,20.490909090909092
737-7H4,20.52570266682649
747-2B5F,20.530230708035003
737-3K2,20.561369509043928
767-224,21.83254113345521
737-3T5,21.930538922155687
737-5H4,22.03600180483982
757-212,22.18085808580858
737-924ER,22.200940070505286
737-3G7,22.443333698510077
737-3H4,22.51582938488595
A321-211,22.547943007509147
A319-132,22.57072371449086
737-7Q8,22.58037882467217
737-3Y0,22.62341728120217
737-3Q8,22.666020109255008
737-317,22.878578321003538
767-324,23.1
737-3A4,23.126546812981555
737-3S3,23.2412076441304
767-432ER,23.362007668177064
A320-214,23.529772218230992
757-26D,23.62405303030303
757-232,23.700588879125622
737-33A,23.88125613346418
737-3L9,23.986348658402637
A319-112,23.99198039950731
767-332,24.068414788651285
757-2Q8,24.139121338912133
737-832,24.38441026365515
737-401,24.5448798988622
737-301,24.6732103782432
777-224,24.732394366197184
182A,24.73718791064389
DA 20-A1,24.80594243268338
737-4B7,24.825609508100413
777-232LR,24.9
737-3B7,25.046079420874953
A319-114,25.272620904836195
A320-231,25.684509711037425
757-2G7,25.868268113134445
737-890,26.18597450848857
65-A90,26.336363636363636
A320-212,26.988833359362797
737-924,27.000839806844425
757-231,27.016666666666666
737-990,27.279943484683066
777-222,27.308655126498003
737-790,27.481731938701046
EMB-120,27.59261689909762
EMB-120ER,27.916841720705087
767-424ER,28.21877001921845
A320-211,28.31769699308216
737-8FH,28.3392200147167
757-23N,28.348837209302324
757-351,28.588515158220844
767-3CB,28.81068342498036
737-73A,28.85080988917306
757-2B7,29.034425040450817
757-225,29.082552946261345
757-33N,29.098570724494824
737-76N,29.150113063141415
737-824,29.320164284910543
MD-90-30,29.408811969937254
757-2S7,29.939084507042253
MD-88,30.11746660823505
737-4Q8,30.30041745502598
767-33A,30.304764589794193
737-7BD,30.31225417895772
757-224,30.448984960757663
717-200,30.58659494289906
737-724,30.639942230780626
757-324,30.674150268336316
757-251,30.828582673903135
737-490,30.894357487098564
777-232,30.959972862957937
AS 355F1,31.429657794676807
DC-9-51,31.70554138177365
E-90,32.02713178294574
767-3G5,32.28515111695138
DC-9-41,32.42913123844732
767-322,32.72291666666667
757-222,33.22461455516231
A109E,33.505376344086024
EMB-135KL,33.57250720085012
737-3TO,33.670784132339335
767-223,33.67181002407529
767-3P6,33.85344827586207
FALCON-XP,33.8661623508874
MD 83,33.98639230003319
A320-232,34.042643512459556
G-IV,34.129094412331405
VANS AIRCRAFT RV6,34.332835820895525
DC-9-31,34.78245026956684
CL600-2D24,34.836283496399446
DC-9-32,35.30276127228242
S55A,35.31224489795918
DC-9-83(MD-83),35.48959767329132
EMB-145XR,35.546568113670126
F85P-1,35.64102564102564
SAAB 340B,35.65333031092977
,35.7226232188741
182P,35.771016813450764
DC-9-82(MD-82),35.91223389092236
737-4S3,35.93905635648755
206B,35.943910256410255
PA-32RT-300,35.958847736625515
C90,35.97952755905512
EMB-145,36.114663726571116
OTTER DHC-3,36.16712580348944
HST-550,36.35746606334842
60,36.45589383294301
T210N,36.5919629057187
757-223,36.62782207301721
EMB-145LR,36.77258393169028
210-5(205),36.89498432601881
172M,36.913636363636364
KITFOX IV,36.9233746130031
172E,36.96345514950166
550,37.14487079091621
421C,37.40591966173361
S-50A,37.427570093457945
PA-32R-300,37.548885077186966
EMB-135LR,37.671345607628325
767-323,37.79173268039752
FALCON XP,38.01518987341772
150,38.12832929782083
CL-600-2C10,38.135685842147254
CL-600-2B19,38.31530745481836
A-1B,38.44296577946768
PA-31-350,38.61129136924075
A319-131,39.013330751105514
737-522,39.42682693686374
EMB-145EP,39.470479837262175
767-2B7,39.51093294460642
DC-7BF,39.658088235294116
S-76A,40.08457142857143
690A,40.52669039145908
737-322,40.54540145087913
737-524,41.571208482486746
PA-28-180,41.91253051261188
DHC-8-202,41.92173100607296
767-201,42.12582781456954
1121,42.810526315789474
747-451,43.26923076923077
747-422,45.18181818181818
ERJ 190-100 IGW,46.88254095085897
ATR 72-212,47.2510148849797
ATR-72-212,47.663491038269015
EMB-135ER,47.79186440677966
DHC-8-102,52.54545454545455
A330-323,54.285714285714285
A330-223,105.6470588235294
